"﻿""# =========================================================================""",,,,,,,,,,,
# TARIFARIO GENERAL DE RUTAS LOGISTICAS (RESUMEN MATRICIAL) - 18/08/2026 11:07,,,,,,,,,,,
# =========================================================================,,,,,,,,,,,
MODALIDAD,ORIGEN,DESTINO,KM,LIGEROS,MEDIANO,PESADO,BUSES,LOWBOY,,,
Madrina,LAGOS DE MORENO,DURANGO,502,9036,10040,12550,14056,40160,,,
Madrina,LAGOS DE MORENO,ECATEPEC,416,7488,8320,10400,11648,33280,,,
Madrina,LAGOS DE MORENO,ESCOBEDO,681,12258,13620,17025,19068,54480,,,
Madrina,LAGOS DE MORENO,GUANAJUATO (LEON),85,1530,1700,2125,2380,6800,,,
Madrina,LAGOS DE MORENO,GUERRERO (CHILPANCINGO),700,12600,14000,17500,19600,56000,,,
Madrina,LAGOS DE MORENO,HIDALGO (TULA),439,7902,8780,10975,12292,35120,,,
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,3600,4000,5000,5600,16000,,,
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,18972,21080,26350,29512,84320,,,
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,6300,7000,8750,9800,28000,,,
Madrina,LAGOS DE MORENO,MONTERREY,683,12294,13660,17075,19124,54640,,,
Madrina,LAGOS DE MORENO,NAYARIT (TEPIC),375,6750,7500,9375,10500,30000,,,
Madrina,LAGOS DE MORENO,OAXACA,880,15840,17600,22000,24640,70400,,,
Madrina,LAGOS DE MORENO,PLANTA 2 JALISCO,19,342,380,475,532,1520,,,
Madrina,LAGOS DE MORENO,PLANTA 3 TLAJOMULCO,228,4104,4560,5700,6384,18240,,,
Madrina,LAGOS DE MORENO,PUEBLA (ASTURCAR),544,9792,10880,13600,15232,43520,,,
Madrina,LAGOS DE MORENO,PUEBLA (ECO TRUKS),545,9810,10900,13625,15260,43600,,,
Madrina,LAGOS DE MORENO,QUERETARO,249,4482,4980,6225,6972,19920,,,
Madrina,LAGOS DE MORENO,QUINTANA ROO (CANCUN),2017,36306,40340,50425,56476,161360,,,
Madrina,LAGOS DE MORENO,SAN LUIS POTOSI,160,2880,3200,4000,4480,12800,,,
Madrina,LAGOS DE MORENO,SINALOA (CD OBREGON),1275,22950,25500,31875,35700,102000,,,
Madrina,LAGOS DE MORENO,SINALOA (CULIACAN),852,15336,17040,21300,23856,68160,,,
Madrina,LAGOS DE MORENO,SONORA (HERMOSILLO),1540,27720,30800,38500,43120,123200,,,
Madrina,LAGOS DE MORENO,TABASCO (VILLAHERMOSA),1170,21060,23400,29250,32760,93600,,,
Madrina,LAGOS DE MORENO,TAMAULIPAS (ALTAMIRA),610,10980,12200,15250,17080,48800,,,
Madrina,LAGOS DE MORENO,TLAXCALA,520,9360,10400,13000,14560,41600,,,
Madrina,LAGOS DE MORENO,TOLUCA,450,8100,9000,11250,12600,36000,,,
Madrina,LAGOS DE MORENO,YUCATAN (MERIDA),1730,31140,34600,43250,48440,138400,,,
Madrina,LAGOS DE MORENO,ZACATECAS,220,3960,4400,5500,6160,17600,,,
,,,,,,,,,,,
# =========================================================================,,,,,,,,,,,
# DESGLOSE DETALLADO POR FACTORES DE VOLUMEN (1 A 15 UNIDADES),,,,,,,,,,,
# =========================================================================,,,,,,,,,,,
MODALIDAD,ORIGEN,DESTINO,KM,SEGMENTO,COSTO_POR_KM,PRECIO_PLANO,UNIDADES_MIN,UNIDADES_MAX,FACTOR_MULTIPLICADOR,PRECIO_UNITARIO_VIN,TOTAL_FLETE
Chofer (Rodando),AlmacÃ©n Montenegro Central,Agencia Monterrey (Gonzalitos),3444,LIGEROS,0,12000,1,1,1,12000,12000
Chofer (Rodando),AlmacÃ©n Montenegro Central,Agencia Monterrey (Gonzalitos),3444,MEDIANO,0,13330,1,1,1,13330,13330
Chofer (Rodando),AlmacÃ©n Montenegro Central,Agencia Monterrey (Gonzalitos),3444,PESADO,0,1660,1,1,1,1660,1660
Chofer (Rodando),AlmacÃ©n Montenegro Central,Agencia Monterrey (Gonzalitos),3444,BUSES,0,25550,1,1,1,25550,25550
Chofer (Rodando),AlmacÃ©n Montenegro Central,Agencia Monterrey (Gonzalitos),3444,LOWBOY,0,232320,1,1,1,232320,232320
Chofer (Rodando),LAGOS DE MORENO,AGUASCALIENTES,89,LIGEROS,18,0,1,1,1,1602,1602
Chofer (Rodando),LAGOS DE MORENO,AGUASCALIENTES,89,MEDIANO,20,0,1,1,1,1780,1780
Chofer (Rodando),LAGOS DE MORENO,AGUASCALIENTES,89,PESADO,25,0,1,1,1,2225,2225
Chofer (Rodando),LAGOS DE MORENO,AGUASCALIENTES,89,BUSES,28,0,1,1,1,2492,2492
Chofer (Rodando),LAGOS DE MORENO,AGUASCALIENTES,89,LOWBOY,80,0,1,1,1,7120,7120
Chofer (Rodando),LAGOS DE MORENO,ALMACEN MONTENEGRO,400,LIGEROS,18,0,1,1,1,7200,7200
Chofer (Rodando),LAGOS DE MORENO,ALMACEN MONTENEGRO,400,MEDIANO,20,0,1,1,1,8000,8000
Chofer (Rodando),LAGOS DE MORENO,ALMACEN MONTENEGRO,400,PESADO,25,0,1,1,1,10000,10000
Chofer (Rodando),LAGOS DE MORENO,ALMACEN MONTENEGRO,400,BUSES,28,0,1,1,1,11200,11200
Chofer (Rodando),LAGOS DE MORENO,ALMACEN MONTENEGRO,400,LOWBOY,80,0,1,1,1,32000,32000
Chofer (Rodando),LAGOS DE MORENO,BAJA CALIFORNIA (MEXICALI),2231,LIGEROS,18,0,1,1,1,40158,40158
Chofer (Rodando),LAGOS DE MORENO,BAJA CALIFORNIA (MEXICALI),2231,MEDIANO,20,0,1,1,1,44620,44620
Chofer (Rodando),LAGOS DE MORENO,BAJA CALIFORNIA (MEXICALI),2231,PESADO,25,0,1,1,1,55775,55775
Chofer (Rodando),LAGOS DE MORENO,BAJA CALIFORNIA (MEXICALI),2231,BUSES,28,0,1,1,1,62468,62468
Chofer (Rodando),LAGOS DE MORENO,BAJA CALIFORNIA (MEXICALI),2231,LOWBOY,80,0,1,1,1,178480,178480
Chofer (Rodando),LAGOS DE MORENO,BAJA CALIFORNIA SUR (LA PAZ) + COSTO DE FERRI,1095,LIGEROS,18,0,1,1,1,19710,19710
Chofer (Rodando),LAGOS DE MORENO,BAJA CALIFORNIA SUR (LA PAZ) + COSTO DE FERRI,1095,MEDIANO,20,0,1,1,1,21900,21900
Chofer (Rodando),LAGOS DE MORENO,BAJA CALIFORNIA SUR (LA PAZ) + COSTO DE FERRI,1095,PESADO,25,0,1,1,1,27375,27375
Chofer (Rodando),LAGOS DE MORENO,BAJA CALIFORNIA SUR (LA PAZ) + COSTO DE FERRI,1095,BUSES,28,0,1,1,1,30660,30660
Chofer (Rodando),LAGOS DE MORENO,BAJA CALIFORNIA SUR (LA PAZ) + COSTO DE FERRI,1095,LOWBOY,80,0,1,1,1,87600,87600
Chofer (Rodando),LAGOS DE MORENO,CHIAPAS (TAPACHULA),1565,LIGEROS,18,0,1,1,1,28170,28170
Chofer (Rodando),LAGOS DE MORENO,CHIAPAS (TAPACHULA),1565,MEDIANO,20,0,1,1,1,31300,31300
Chofer (Rodando),LAGOS DE MORENO,CHIAPAS (TAPACHULA),1565,PESADO,25,0,1,1,1,39125,39125
Chofer (Rodando),LAGOS DE MORENO,CHIAPAS (TAPACHULA),1565,BUSES,28,0,1,1,1,43820,43820
Chofer (Rodando),LAGOS DE MORENO,CHIAPAS (TAPACHULA),1565,LOWBOY,80,0,1,1,1,125200,125200
Chofer (Rodando),LAGOS DE MORENO,CHIAPAS (TUXTLA),1253,LIGEROS,18,0,1,1,1,22554,22554
Chofer (Rodando),LAGOS DE MORENO,CHIAPAS (TUXTLA),1253,MEDIANO,20,0,1,1,1,25060,25060
Chofer (Rodando),LAGOS DE MORENO,CHIAPAS (TUXTLA),1253,PESADO,25,0,1,1,1,31325,31325
Chofer (Rodando),LAGOS DE MORENO,CHIAPAS (TUXTLA),1253,BUSES,28,0,1,1,1,35084,35084
Chofer (Rodando),LAGOS DE MORENO,CHIAPAS (TUXTLA),1253,LOWBOY,80,0,1,1,1,100240,100240
Chofer (Rodando),LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,LIGEROS,18,0,1,1,1,8010,8010
Chofer (Rodando),LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,MEDIANO,20,0,1,1,1,8900,8900
Chofer (Rodando),LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,PESADO,25,0,1,1,1,11125,11125
Chofer (Rodando),LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,BUSES,28,0,1,1,1,12460,12460
Chofer (Rodando),LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,LOWBOY,80,0,1,1,1,35600,35600
Chofer (Rodando),LAGOS DE MORENO,CMV INSURGENTES,446,LIGEROS,18,0,1,1,1,8028,8028
Chofer (Rodando),LAGOS DE MORENO,CMV INSURGENTES,446,MEDIANO,20,0,1,1,1,8920,8920
Chofer (Rodando),LAGOS DE MORENO,CMV INSURGENTES,446,PESADO,25,0,1,1,1,11150,11150
Chofer (Rodando),LAGOS DE MORENO,CMV INSURGENTES,446,BUSES,28,0,1,1,1,12488,12488
Chofer (Rodando),LAGOS DE MORENO,CMV INSURGENTES,446,LOWBOY,80,0,1,1,1,35680,35680
Chofer (Rodando),LAGOS DE MORENO,CMV TLANEPANTA,407,LIGEROS,18,0,1,1,1,7326,7326
