"﻿""# =========================================================================""",,,,,,,,,,,
# TARIFARIO GENERAL DE RUTAS LOGISTICAS (RESUMEN MATRICIAL) - 18/08/2026 11:07,,,,,,,,,,,
# =========================================================================,,,,,,,,,,,
MODALIDAD,ORIGEN,DESTINO,KM,LIGEROS,MEDIANO,PESADO,BUSES,LOWBOY,,,
Madrina,LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,BUSES,28,0,4,4,0.94,11712.4,46849.6
Madrina,LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,BUSES,28,0,5,5,0.92,11463.2,57316
Madrina,LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,BUSES,28,0,6,6,0.9,11214,67284
Madrina,LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,BUSES,28,0,7,7,0.88,10964.8,76753.6
Madrina,LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,BUSES,28,0,8,8,0.86,10715.6,85724.8
Madrina,LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,BUSES,28,0,9,9,0.84,10466.4,94197.6
Madrina,LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,BUSES,28,0,10,10,0.82,10217.2,102172
Madrina,LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,BUSES,28,0,11,11,0.8,9968,109648
Madrina,LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,BUSES,28,0,12,12,0.78,9718.8,116625.6
Madrina,LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,BUSES,28,0,13,13,0.76,9469.6,123104.8
Madrina,LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,BUSES,28,0,14,14,0.74,9220.4,129085.6
Madrina,LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,BUSES,28,0,15,15,0.72,8971.2,134568
Madrina,LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,LOWBOY,80,0,1,1,1,35600,35600
Madrina,LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,LOWBOY,80,0,2,2,0.98,34888,69776
Madrina,LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,LOWBOY,80,0,3,3,0.96,34176,102528
Madrina,LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,LOWBOY,80,0,4,4,0.94,33464,133856
Madrina,LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,LOWBOY,80,0,5,5,0.92,32752,163760
Madrina,LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,LOWBOY,80,0,6,6,0.9,32040,192240
Madrina,LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,LOWBOY,80,0,7,7,0.88,31328,219296
Madrina,LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,LOWBOY,80,0,8,8,0.86,30616,244928
Madrina,LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,LOWBOY,80,0,9,9,0.84,29904,269136
Madrina,LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,LOWBOY,80,0,10,10,0.82,29192,291920
Madrina,LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,LOWBOY,80,0,11,11,0.8,28480,313280
Madrina,LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,LOWBOY,80,0,12,12,0.78,27768,333216
Madrina,LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,LOWBOY,80,0,13,13,0.76,27056,351728
Madrina,LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,LOWBOY,80,0,14,14,0.74,26344,368816
Madrina,LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,LOWBOY,80,0,15,15,0.72,25632,384480
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,LIGEROS,18,0,1,1,1,8028,8028
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,LIGEROS,18,0,2,2,0.98,7867.44,15734.88
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,LIGEROS,18,0,3,3,0.96,7706.88,23120.64
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,LIGEROS,18,0,4,4,0.94,7546.32,30185.28
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,LIGEROS,18,0,5,5,0.92,7385.76,36928.8
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,LIGEROS,18,0,6,6,0.9,7225.2,43351.2
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,LIGEROS,18,0,7,7,0.88,7064.64,49452.48
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,LIGEROS,18,0,8,8,0.86,6904.08,55232.64
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,LIGEROS,18,0,9,9,0.84,6743.52,60691.68
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,LIGEROS,18,0,10,10,0.82,6582.96,65829.6
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,LIGEROS,18,0,11,11,0.8,6422.4,70646.4
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,LIGEROS,18,0,12,12,0.78,6261.84,75142.08
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,LIGEROS,18,0,13,13,0.76,6101.28,79316.64
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,LIGEROS,18,0,14,14,0.74,5940.72,83170.08
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,LIGEROS,18,0,15,15,0.72,5780.16,86702.4
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,MEDIANO,20,0,1,1,1,8920,8920
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,MEDIANO,20,0,2,2,0.98,8741.6,17483.2
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,MEDIANO,20,0,3,3,0.96,8563.2,25689.6
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,MEDIANO,20,0,4,4,0.94,8384.8,33539.2
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,MEDIANO,20,0,5,5,0.92,8206.4,41032
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,MEDIANO,20,0,6,6,0.9,8028,48168
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,MEDIANO,20,0,7,7,0.88,7849.6,54947.2
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,MEDIANO,20,0,8,8,0.86,7671.2,61369.6
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,MEDIANO,20,0,9,9,0.84,7492.8,67435.2
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,MEDIANO,20,0,10,10,0.82,7314.4,73144
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,MEDIANO,20,0,11,11,0.8,7136,78496
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,MEDIANO,20,0,12,12,0.78,6957.6,83491.2
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,MEDIANO,20,0,13,13,0.76,6779.2,88129.6
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,MEDIANO,20,0,14,14,0.74,6600.8,92411.2
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,MEDIANO,20,0,15,15,0.72,6422.4,96336
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,PESADO,25,0,1,1,1,11150,11150
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,PESADO,25,0,2,2,0.98,10927,21854
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,PESADO,25,0,3,3,0.96,10704,32112
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,PESADO,25,0,4,4,0.94,10481,41924
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,PESADO,25,0,5,5,0.92,10258,51290
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,PESADO,25,0,6,6,0.9,10035,60210
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,PESADO,25,0,7,7,0.88,9812,68684
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,PESADO,25,0,8,8,0.86,9589,76712
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,PESADO,25,0,9,9,0.84,9366,84294
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,PESADO,25,0,10,10,0.82,9143,91430
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,PESADO,25,0,11,11,0.8,8920,98120
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,PESADO,25,0,12,12,0.78,8697,104364
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,PESADO,25,0,13,13,0.76,8474,110162
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,PESADO,25,0,14,14,0.74,8251,115514
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,PESADO,25,0,15,15,0.72,8028,120420
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,BUSES,28,0,1,1,1,12488,12488
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,BUSES,28,0,2,2,0.98,12238.24,24476.48
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,BUSES,28,0,3,3,0.96,11988.48,35965.44
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,BUSES,28,0,4,4,0.94,11738.72,46954.88
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,BUSES,28,0,5,5,0.92,11488.96,57444.8
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,BUSES,28,0,6,6,0.9,11239.2,67435.2
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,BUSES,28,0,7,7,0.88,10989.44,76926.08
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,BUSES,28,0,8,8,0.86,10739.68,85917.44
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,BUSES,28,0,9,9,0.84,10489.92,94409.28
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,BUSES,28,0,10,10,0.82,10240.16,102401.6
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,BUSES,28,0,11,11,0.8,9990.4,109894.4
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,BUSES,28,0,12,12,0.78,9740.64,116887.68
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,BUSES,28,0,13,13,0.76,9490.88,123381.44
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,BUSES,28,0,14,14,0.74,9241.12,129375.68
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,BUSES,28,0,15,15,0.72,8991.36,134870.4
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,LOWBOY,80,0,1,1,1,35680,35680
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,LOWBOY,80,0,2,2,0.98,34966.4,69932.8
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,LOWBOY,80,0,3,3,0.96,34252.8,102758.4
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,LOWBOY,80,0,4,4,0.94,33539.2,134156.8
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,LOWBOY,80,0,5,5,0.92,32825.6,164128
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,LOWBOY,80,0,6,6,0.9,32112,192672
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,LOWBOY,80,0,7,7,0.88,31398.4,219788.8
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,LOWBOY,80,0,8,8,0.86,30684.8,245478.4
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,LOWBOY,80,0,9,9,0.84,29971.2,269740.8
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,LOWBOY,80,0,10,10,0.82,29257.6,292576
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,LOWBOY,80,0,11,11,0.8,28544,313984
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,LOWBOY,80,0,12,12,0.78,27830.4,333964.8
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,LOWBOY,80,0,13,13,0.76,27116.8,352518.4
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,LOWBOY,80,0,14,14,0.74,26403.2,369644.8
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,LOWBOY,80,0,15,15,0.72,25689.6,385344
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,LIGEROS,18,0,1,1,1,7326,7326
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,LIGEROS,18,0,2,2,0.98,7179.48,14358.96
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,LIGEROS,18,0,3,3,0.96,7032.96,21098.88
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,LIGEROS,18,0,4,4,0.94,6886.44,27545.76
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,LIGEROS,18,0,5,5,0.92,6739.92,33699.6
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,LIGEROS,18,0,6,6,0.9,6593.4,39560.4
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,LIGEROS,18,0,7,7,0.88,6446.88,45128.16
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,LIGEROS,18,0,8,8,0.86,6300.36,50402.88
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,LIGEROS,18,0,9,9,0.84,6153.84,55384.56
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,LIGEROS,18,0,10,10,0.82,6007.32,60073.2
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,LIGEROS,18,0,11,11,0.8,5860.8,64468.8
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,LIGEROS,18,0,12,12,0.78,5714.28,68571.36
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,LIGEROS,18,0,13,13,0.76,5567.76,72380.88
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,LIGEROS,18,0,14,14,0.74,5421.24,75897.36
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,LIGEROS,18,0,15,15,0.72,5274.72,79120.8
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,MEDIANO,20,0,1,1,1,8140,8140
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,MEDIANO,20,0,2,2,0.98,7977.2,15954.4
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,MEDIANO,20,0,3,3,0.96,7814.4,23443.2
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,MEDIANO,20,0,4,4,0.94,7651.6,30606.4
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,MEDIANO,20,0,5,5,0.92,7488.8,37444
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,MEDIANO,20,0,6,6,0.9,7326,43956
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,MEDIANO,20,0,7,7,0.88,7163.2,50142.4
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,MEDIANO,20,0,8,8,0.86,7000.4,56003.2
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,MEDIANO,20,0,9,9,0.84,6837.6,61538.4
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,MEDIANO,20,0,10,10,0.82,6674.8,66748
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,MEDIANO,20,0,11,11,0.8,6512,71632
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,MEDIANO,20,0,12,12,0.78,6349.2,76190.4
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,MEDIANO,20,0,13,13,0.76,6186.4,80423.2
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,MEDIANO,20,0,14,14,0.74,6023.6,84330.4
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,MEDIANO,20,0,15,15,0.72,5860.8,87912
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,PESADO,25,0,1,1,1,10175,10175
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,PESADO,25,0,2,2,0.98,9971.5,19943
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,PESADO,25,0,3,3,0.96,9768,29304
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,PESADO,25,0,4,4,0.94,9564.5,38258
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,PESADO,25,0,5,5,0.92,9361,46805
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,PESADO,25,0,6,6,0.9,9157.5,54945
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,PESADO,25,0,7,7,0.88,8954,62678
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,PESADO,25,0,8,8,0.86,8750.5,70004
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,PESADO,25,0,9,9,0.84,8547,76923
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,PESADO,25,0,10,10,0.82,8343.5,83435
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,PESADO,25,0,11,11,0.8,8140,89540
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,PESADO,25,0,12,12,0.78,7936.5,95238
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,PESADO,25,0,13,13,0.76,7733,100529
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,PESADO,25,0,14,14,0.74,7529.5,105413
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,PESADO,25,0,15,15,0.72,7326,109890
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,BUSES,28,0,1,1,1,11396,11396
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,BUSES,28,0,2,2,0.98,11168.08,22336.16
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,BUSES,28,0,3,3,0.96,10940.16,32820.48
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,BUSES,28,0,4,4,0.94,10712.24,42848.96
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,BUSES,28,0,5,5,0.92,10484.32,52421.6
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,BUSES,28,0,6,6,0.9,10256.4,61538.4
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,BUSES,28,0,7,7,0.88,10028.48,70199.36
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,BUSES,28,0,8,8,0.86,9800.56,78404.48
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,BUSES,28,0,9,9,0.84,9572.64,86153.76
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,BUSES,28,0,10,10,0.82,9344.72,93447.2
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,BUSES,28,0,11,11,0.8,9116.8,100284.8
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,BUSES,28,0,12,12,0.78,8888.88,106666.56
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,BUSES,28,0,13,13,0.76,8660.96,112592.48
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,BUSES,28,0,14,14,0.74,8433.04,118062.56
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,BUSES,28,0,15,15,0.72,8205.12,123076.8
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,LOWBOY,80,0,1,1,1,32560,32560
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,LOWBOY,80,0,2,2,0.98,31908.8,63817.6
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,LOWBOY,80,0,3,3,0.96,31257.6,93772.8
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,LOWBOY,80,0,4,4,0.94,30606.4,122425.6
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,LOWBOY,80,0,5,5,0.92,29955.2,149776
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,LOWBOY,80,0,6,6,0.9,29304,175824
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,LOWBOY,80,0,7,7,0.88,28652.8,200569.6
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,LOWBOY,80,0,8,8,0.86,28001.6,224012.8
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,LOWBOY,80,0,9,9,0.84,27350.4,246153.6
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,LOWBOY,80,0,10,10,0.82,26699.2,266992
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,LOWBOY,80,0,11,11,0.8,26048,286528
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,LOWBOY,80,0,12,12,0.78,25396.8,304761.6
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,LOWBOY,80,0,13,13,0.76,24745.6,321692.8
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,LOWBOY,80,0,14,14,0.74,24094.4,337321.6
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,LOWBOY,80,0,15,15,0.72,23443.2,351648
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,LIGEROS,18,0,1,1,1,11160,11160
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,LIGEROS,18,0,2,2,0.98,10936.8,21873.6
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,LIGEROS,18,0,3,3,0.96,10713.6,32140.8
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,LIGEROS,18,0,4,4,0.94,10490.4,41961.6
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,LIGEROS,18,0,5,5,0.92,10267.2,51336
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,LIGEROS,18,0,6,6,0.9,10044,60264
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,LIGEROS,18,0,7,7,0.88,9820.8,68745.6
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,LIGEROS,18,0,8,8,0.86,9597.6,76780.8
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,LIGEROS,18,0,9,9,0.84,9374.4,84369.6
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,LIGEROS,18,0,10,10,0.82,9151.2,91512
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,LIGEROS,18,0,11,11,0.8,8928,98208
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,LIGEROS,18,0,12,12,0.78,8704.8,104457.6
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,LIGEROS,18,0,13,13,0.76,8481.6,110260.8
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,LIGEROS,18,0,14,14,0.74,8258.4,115617.6
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,LIGEROS,18,0,15,15,0.72,8035.2,120528
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,MEDIANO,20,0,1,1,1,12400,12400
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,MEDIANO,20,0,2,2,0.98,12152,24304
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,MEDIANO,20,0,3,3,0.96,11904,35712
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,MEDIANO,20,0,4,4,0.94,11656,46624
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,MEDIANO,20,0,5,5,0.92,11408,57040
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,MEDIANO,20,0,6,6,0.9,11160,66960
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,MEDIANO,20,0,7,7,0.88,10912,76384
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,MEDIANO,20,0,8,8,0.86,10664,85312
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,MEDIANO,20,0,9,9,0.84,10416,93744
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,MEDIANO,20,0,10,10,0.82,10168,101680
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,MEDIANO,20,0,11,11,0.8,9920,109120
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,MEDIANO,20,0,12,12,0.78,9672,116064
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,MEDIANO,20,0,13,13,0.76,9424,122512
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,MEDIANO,20,0,14,14,0.74,9176,128464
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,MEDIANO,20,0,15,15,0.72,8928,133920
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,PESADO,25,0,1,1,1,15500,15500
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,PESADO,25,0,2,2,0.98,15190,30380
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,PESADO,25,0,3,3,0.96,14880,44640
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,PESADO,25,0,4,4,0.94,14570,58280
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,PESADO,25,0,5,5,0.92,14260,71300
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,PESADO,25,0,6,6,0.9,13950,83700
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,PESADO,25,0,7,7,0.88,13640,95480
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,PESADO,25,0,8,8,0.86,13330,106640
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,PESADO,25,0,9,9,0.84,13020,117180
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,PESADO,25,0,10,10,0.82,12710,127100
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,PESADO,25,0,11,11,0.8,12400,136400
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,PESADO,25,0,12,12,0.78,12090,145080
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,PESADO,25,0,13,13,0.76,11780,153140
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,PESADO,25,0,14,14,0.74,11470,160580
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,PESADO,25,0,15,15,0.72,11160,167400
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,BUSES,28,0,1,1,1,17360,17360
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,BUSES,28,0,2,2,0.98,17012.8,34025.6
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,BUSES,28,0,3,3,0.96,16665.6,49996.8
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,BUSES,28,0,4,4,0.94,16318.4,65273.6
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,BUSES,28,0,5,5,0.92,15971.2,79856
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,BUSES,28,0,6,6,0.9,15624,93744
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,BUSES,28,0,7,7,0.88,15276.8,106937.6
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,BUSES,28,0,8,8,0.86,14929.6,119436.8
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,BUSES,28,0,9,9,0.84,14582.4,131241.6
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,BUSES,28,0,10,10,0.82,14235.2,142352
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,BUSES,28,0,11,11,0.8,13888,152768
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,BUSES,28,0,12,12,0.78,13540.8,162489.6
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,BUSES,28,0,13,13,0.76,13193.6,171516.8
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,BUSES,28,0,14,14,0.74,12846.4,179849.6
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,BUSES,28,0,15,15,0.72,12499.2,187488
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,LOWBOY,80,0,1,1,1,49600,49600
